"Shape" "Thres" "Nban"
0.019 8000 154
0.019 8000 154
0.084 8000 154
0.04 8000 154
0.209 8000 154
-0.041 8000 154
-0.041 8000 154
-0.038 8000 154
0.026 8000 154
0.026 8000 154
0.02 8000 154
0.171 8000 154
0.076 8000 154
0.103 8000 154
-0.037 8000 154
-0.077 8000 154
-0.22 8000 154
-0.162 8000 154
0.027 8000 154
-0.122 8000 154
-0.058 8000 154
-0.148 8000 154
0.144 8000 154
0.163 8000 154
0.163 8000 154
0.163 8000 154
0.135 8000 154
0.135 8000 154
0.051 8000 154
0.066 8000 154
0.097 8000 154
0.097 8000 154
0.006 8000 154
0.006 8000 154
0.108 8000 154
0.118 8000 154
-0.018 8000 154
0.134 8000 154
0.134 8000 154
0.134 8000 154
0.047 8000 154
-0.065 8000 154
-0.148 8000 154
-0.046 8000 154
0.063 8000 154
0.119 8000 154
0.089 8000 154
0.089 8000 154
0.176 8000 154
0.157 8000 154
0.101 8000 154
0.138 8000 154
0.022 8000 154
0.106 8000 154
-0.025 8000 154
-0.007 8000 154
0.019 8000 154
-0.064 8000 154
-0.064 8000 154
0.026 8000 154
-0.007 8000 154
-0.007 8000 154
-0.007 8000 154
-0.054 8000 154
-0.051 8000 154
-0.051 8000 154
-0.195 8000 154
0.023 8000 154
0.039 8000 154
0.039 8000 154
0.039 8000 154
0.09 8000 154
-0.065 8000 154
-0.008 8000 154
-0.135 8000 154
0.013 8000 154
0.119 8000 154
0.162 8000 154
0.155 8000 154
0.177 8000 154
0.177 8000 154
0.152 8000 154
0.169 8000 154
0.144 8000 154
0.144 8000 154
0.144 8000 154
0.144 8000 154
0.144 8000 154
0.144 8000 154
0.202 8000 154
0.058 8000 154
0.058 8000 154
0.089 8000 154
0.103 8000 154
0.103 8000 154
0.126 8000 154
0.042 8000 154
0.064 8000 154
0.064 8000 154
0.144 8000 154
0.168 8000 154
-0.15 8000 154
0.014 8000 154
0.014 8000 154
0.091 8000 154
0.091 8000 154
0.186 8000 154
-0.046 8000 154
-0.034 8000 154
0.067 8000 154
0.138 8000 154
0.138 8000 154
0.029 8000 154
-0.034 8000 154
